Session,Subject,GovStructure,Game,interactionDraw,interaction,Period,Partnership,Profit,Matchpay,Finished,Choice,Terminator,PartnerChoice.Poc,PTc,gplay,simplay,Age,Gender
1,1,2-player,CG,1,1,1,8,6.5,6.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,34,5,6.5,221,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,29,5,6.5,188.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,24,5,6.5,156,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,13,11,2.5,26,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,7,19,5,6.5,123.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,14,5,6.5,91,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,9,5,6.5,58.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,1,3,8,6.5,19.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,4,5,6.5,26,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,11,4,6.5,71.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,6,4,6.5,39,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,3,1,12,6.5,6.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,21,5,6.5,136.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,1,4,6.5,6.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,5,2,9,6.5,13,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,8,1,6.5,52,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,6,5,6.5,39,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,3,1,6.5,19.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,3,3,12,6.5,19.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,12,11,2.5,23.5,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,7,23,5,6.5,149.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,7,11,2.5,11,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,2,2,11,-0.5,-1,0,C,0,nC,NA,2,2,22,Male
1,1,2-player,CG,1,1,2,8,6.5,13,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,35,5,6.5,227.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,30,5,6.5,195,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,25,5,6.5,162.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,14,11,2.5,28.5,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,7,20,5,6.5,130,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,15,5,6.5,97.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,10,5,6.5,65,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,1,4,8,6.5,26,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,5,5,6.5,32.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,12,4,6.5,78,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,7,4,6.5,45.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,3,2,12,6.5,13,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,22,5,6.5,143,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,2,4,6.5,13,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,5,3,9,6.5,19.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,9,1,6.5,58.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,7,5,6.5,45.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,4,1,6.5,26,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,3,4,12,6.5,26,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,9,11,2.5,16,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,7,1,5,6.5,6.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,8,11,2.5,13.5,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,2,3,11,2,1,0,nC,0,nC,NA,6,4,22,Male
1,1,2-player,CG,1,4,11,1,6.5,71.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,36,5,6.5,234,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,31,5,6.5,201.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,26,5,6.5,169,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,8,5,6.5,52,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,5,1,6.5,32.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,16,5,6.5,104,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,11,5,6.5,71.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,1,5,8,6.5,32.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,9,4,6.5,58.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,4,11,2.5,3.5,4,E,1,nC,NA,7,5,22,Male
1,1,2-player,CG,1,6,8,4,6.5,52,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,37,5,6.5,240.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,32,5,6.5,208,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,3,4,6.5,19.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,5,4,9,6.5,26,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,10,1,6.5,65,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,17,5,6.5,110.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,12,5,6.5,78,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,3,5,12,6.5,32.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,10,11,2.5,18.5,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,7,2,5,6.5,13,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,5,5,9,6.5,32.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,5,4,6.5,32.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,5,1,9,6.5,6.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,6,4,4,6.5,26,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,1,1,6.5,6.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,27,5,6.5,175.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,18,5,6.5,117,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,6,1,6.5,39,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,5,11,2.5,6,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,2,11,11,2.5,21,4,E-,1,E-,NA,9,6,22,Male
1,1,2-player,CG,1,2,1,11,-0.5,-0.5,0,C,0,nC,NA,2,2,22,Male
1,1,2-player,CG,1,6,10,4,6.5,65,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,28,5,6.5,182,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,7,1,6.5,45.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,33,5,6.5,214.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,13,5,6.5,84.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,4,2,1,6.5,13,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,5,6,9,6.5,39,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,7,3,5,6.5,19.5,0,C,0,C,NA,1,1,22,Male
1,1,2-player,CG,1,2,6,11,2.5,8.5,4,E-,1,E-,NA,9,6,22,Male
1,10,2-player,CG,1,7,4,11,6.5,26,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,3,2,1,6.5,13,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,3,4,1,6.5,26,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,7,6,6.5,45.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,3,3,1,6.5,19.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,1,5,6.5,6.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,21,11,6.5,136.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,3,1,1,6.5,6.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,6,6,6.5,39,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,1,5,1,6.5,32.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,24,11,6.5,156,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,3,5,1,6.5,32.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,7,11,6.5,45.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,5,11,6.5,32.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,11,5,6.5,71.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,3,8,2.5,10,2,E-,0,E-,NA,9,6,23,Male
1,10,2-player,CG,1,4,2,5,6.5,13,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,22,11,6.5,143,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,26,11,6.5,169,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,8,11,6.5,52,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,1,8,5,5,0,nC,0,C,NA,4,2,23,Male
1,10,2-player,CG,1,7,16,11,6.5,104,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,11,11,6.5,71.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,5,2,1,6.5,13,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,4,5,6.5,26,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,5,1,1,6.5,6.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,8,6,6.5,52,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,3,5,6.5,19.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,23,11,6.5,149.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,6,5,6.5,39,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,11,6,-0.5,57.5,0,C,0,nC,NA,2,2,23,Male
1,10,2-player,CG,1,2,2,8,2.5,7.5,2,C,0,E,NA,8,5,23,Male
1,10,2-player,CG,1,7,17,11,6.5,110.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,10,8,2.5,27.5,2,E-,0,E-,NA,9,6,23,Male
1,10,2-player,CG,1,7,25,11,6.5,162.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,5,5,6.5,32.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,20,11,6.5,130,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,6,11,6.5,39,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,19,11,6.5,123.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,4,8,2.5,12.5,2,E-,0,E-,NA,9,6,23,Male
1,10,2-player,CG,1,4,7,5,6.5,45.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,12,6,6.5,64,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,27,11,6.5,175.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,1,3,1,6.5,19.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,11,8,2.5,30,2,E-,0,E-,NA,9,6,23,Male
1,10,2-player,CG,1,7,31,11,6.5,201.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,12,11,6.5,78,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,5,3,1,6.5,19.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,1,1,1,6.5,6.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,2,11,6.5,13,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,9,6,6.5,58.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,4,8,5,6.5,52,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,13,8,2.5,35,2,E-,0,E-,NA,9,6,23,Male
1,10,2-player,CG,1,7,14,11,6.5,91,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,9,11,6.5,58.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,5,5,1,6.5,32.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,18,11,6.5,117,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,36,11,6.5,234,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,5,4,1,6.5,26,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,1,2,1,6.5,13,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,3,11,6.5,19.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,6,10,6,-0.5,58,0,C,0,nC,NA,2,2,23,Male
1,10,2-player,CG,1,6,1,6,6.5,6.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,2,5,8,2.5,15,2,E-,0,E-,NA,9,6,23,Male
1,10,2-player,CG,1,7,15,11,6.5,97.5,0,C,0,C,NA,1,1,23,Male
1,10,2-player,CG,1,7,1,11,6.5,6.5,0,C,0,C,NA,1,1,23,Male
